Participant_ID,Age_x,Gender_x,Location_x,Education_x,COVID_Awareness_Level_x,Received_Info_Social_Media_x,Vaccine_Hesitancy_x,Reasons_For_Hesitancy_x,Ad_Type_x,Feel_About_Info_Social_Media,Age_y,Gender_y,Location_y,Education_y,COVID_Awareness_Level_y,Received_Info_Social_Media_y,Vaccine_Hesitancy_y,Reasons_For_Hesitancy_y,Ad_Type_y,Received_Vaccine,Influenced_Decision,Effectiveness_Reason_Ad,Effectiveness_Emotions_Ad
1392,64,Male,Rural,College,Low,Yes,Not Sure,,Emotions,Neutral,64,Male,Rural,College,Low,Yes,Not Sure,,Reason,Yes,Emotions Ad,Very effective,
1393,41,Female,Urban,High School,Low,No,Not Sure,Concerns about side effects,Emotions,Negative,41,Female,Urban,High School,Low,No,Not Sure,Concerns about side effects,Reason,Yes,Emotions Ad,Not at all effective,
1394,39,Female,Suburban,College,High,No,Yes,Concerns about side effects,Reason,Positive,39,Female,Suburban,College,High,No,Yes,Concerns about side effects,Control,Yes,Emotions Ad,,
1396,50,Female,Urban,High School,Low,Yes,No,,Control,Neutral,50,Female,Urban,High School,Low,Yes,No,,Reason,No,Not Applicable,Very effective,
1398,64,Male,Suburban,High School,Medium,No,Not Sure,,Control,Positive,64,Male,Suburban,High School,Medium,No,Not Sure,,Control,No,Not Applicable,,
1400,36,Male,Rural,High School,Low,Yes,Yes,,Control,Negative,36,Male,Rural,High School,Low,Yes,Yes,,Emotions,Yes,Emotions Ad,,Somewhat effective
1401,52,Male,Rural,High School,Medium,No,Yes,,Emotions,Negative,52,Male,Rural,High School,Medium,No,Yes,,Control,No,Not Applicable,,
1405,60,Female,Rural,College,Medium,No,Not Sure,Concerns about side effects,Reason,Negative,60,Female,Rural,College,Medium,No,Not Sure,Concerns about side effects,Reason,No,Not Applicable,Not at all effective,
1406,51,Male,Rural,Graduate School,High,Yes,Not Sure,,Control,Negative,51,Male,Rural,Graduate School,High,Yes,Not Sure,,Control,Yes,Emotions Ad,,
1407,26,Female,Suburban,High School,Medium,No,Yes,,Emotions,Positive,26,Female,Suburban,High School,Medium,No,Yes,,Control,No,Not Applicable,,
1408,43,Male,Suburban,High School,Medium,Yes,Not Sure,,Control,Positive,43,Male,Suburban,High School,Medium,Yes,Not Sure,,Emotions,No,Not Applicable,,Very effective
1409,19,Female,Urban,High School,Low,No,Not Sure,,Emotions,Positive,19,Female,Urban,High School,Low,No,Not Sure,,Control,No,Not Applicable,,
1410,26,Male,Rural,College,Medium,No,No,,Emotions,Positive,26,Male,Rural,College,Medium,No,No,,Emotions,Yes,Emotions Ad,,Not at all effective
1411,26,Male,Rural,High School,Medium,Yes,No,,Reason,Negative,26,Male,Rural,High School,Medium,Yes,No,,Reason,Yes,Other,Not at all effective,
1412,57,Female,Urban,High School,Medium,Yes,Yes,,Emotions,Negative,57,Female,Urban,High School,Medium,Yes,Yes,,Reason,Yes,Other,Not at all effective,
1414,18,Female,Suburban,High School,Low,Yes,Yes,,Emotions,Negative,18,Female,Suburban,High School,Low,Yes,Yes,,Control,Yes,Other,,
1415,42,Female,Suburban,High School,Low,No,Yes,,Reason,Negative,42,Female,Suburban,High School,Low,No,Yes,,Control,No,Not Applicable,,
1416,60,Male,Urban,Graduate School,Medium,No,Yes,Concerns about side effects,Control,Positive,60,Male,Urban,Graduate School,Medium,No,Yes,Concerns about side effects,Reason,Yes,Other,Somewhat effective,
1417,57,Male,Urban,College,Medium,No,No,,Reason,Neutral,57,Male,Urban,College,Medium,No,No,,Reason,No,Not Applicable,Very effective,
1418,59,Male,Rural,High School,High,No,No,,Control,Neutral,59,Male,Rural,High School,High,No,No,,Reason,No,Not Applicable,Somewhat effective,
1419,42,Female,Urban,High School,Low,No,No,,Emotions,Positive,42,Female,Urban,High School,Low,No,No,,Control,Yes,Emotions Ad,,
1420,56,Male,Urban,High School,High,Yes,Not Sure,,Control,Neutral,56,Male,Urban,High School,High,Yes,Not Sure,,Reason,Yes,Other,Somewhat effective,
1421,52,Male,Rural,High School,Low,Yes,Not Sure,,Control,Negative,52,Male,Rural,High School,Low,Yes,Not Sure,,Control,Yes,Other,,
1422,20,Female,Urban,Graduate School,High,No,No,,Control,Neutral,20,Female,Urban,Graduate School,High,No,No,,Reason,Yes,Reason Ad,Not at all effective,
1423,54,Female,Suburban,Graduate School,Medium,Yes,No,,Control,Positive,54,Female,Suburban,Graduate School,Medium,Yes,No,,Reason,No,Not Applicable,Not at all effective,
1424,61,Male,Suburban,Graduate School,High,Yes,Yes,Concerns about side effects,Emotions,Positive,61,Male,Suburban,Graduate School,High,Yes,Yes,Concerns about side effects,Control,No,Not Applicable,,
1425,61,Female,Rural,Graduate School,Medium,Yes,No,,Reason,Neutral,61,Female,Rural,Graduate School,Medium,Yes,No,,Emotions,No,Not Applicable,,Very effective
1426,47,Male,Urban,College,Low,Yes,Yes,,Control,Neutral,47,Male,Urban,College,Low,Yes,Yes,,Control,Yes,Reason Ad,,
1427,55,Male,Suburban,High School,Low,Yes,No,,Emotions,Negative,55,Male,Suburban,High School,Low,Yes,No,,Emotions,Yes,Other,,Very effective
1428,51,Female,Suburban,Graduate School,Medium,Yes,Yes,Concerns about side effects,Emotions,Neutral,51,Female,Suburban,Graduate School,Medium,Yes,Yes,Concerns about side effects,Control,Yes,Reason Ad,,
1429,29,Male,Suburban,High School,Low,No,No,,Emotions,Neutral,29,Male,Suburban,High School,Low,No,No,,Emotions,Yes,Reason Ad,,Very effective
1430,36,Female,Suburban,College,High,Yes,Yes,,Emotions,Neutral,36,Female,Suburban,College,High,Yes,Yes,,Emotions,No,Not Applicable,,Not at all effective
1431,54,Female,Urban,High School,Medium,Yes,Not Sure,,Control,Negative,54,Female,Urban,High School,Medium,Yes,Not Sure,,Emotions,Yes,Reason Ad,,Somewhat effective
1432,61,Male,Urban,High School,Low,No,Not Sure,,Reason,Neutral,61,Male,Urban,High School,Low,No,Not Sure,,Control,No,Not Applicable,,
1434,27,Male,Urban,Graduate School,High,No,Yes,Concerns about side effects,Reason,Negative,27,Male,Urban,Graduate School,High,No,Yes,Concerns about side effects,Control,No,Not Applicable,,
1435,64,Female,Suburban,College,Low,Yes,Not Sure,Concerns about side effects,Reason,Positive,64,Female,Suburban,College,Low,Yes,Not Sure,Concerns about side effects,Control,No,Not Applicable,,
1436,29,Male,Rural,High School,Low,No,No,,Reason,Positive,29,Male,Rural,High School,Low,No,No,,Emotions,Yes,Other,,Very effective
1437,33,Female,Rural,Graduate School,High,Yes,Yes,Concerns about side effects,Emotions,Negative,33,Female,Rural,Graduate School,High,Yes,Yes,Concerns about side effects,Emotions,Yes,Other,,Somewhat effective
1439,36,Male,Suburban,Graduate School,Low,Yes,Not Sure,,Emotions,Negative,36,Male,Suburban,Graduate School,Low,Yes,Not Sure,,Control,No,Not Applicable,,
1440,25,Female,Rural,College,Low,Yes,Not Sure,,Reason,Positive,25,Female,Rural,College,Low,Yes,Not Sure,,Control,Yes,Reason Ad,,
1441,48,Male,Rural,High School,Medium,No,Yes,,Emotions,Negative,48,Male,Rural,High School,Medium,No,Yes,,Reason,Yes,Reason Ad,Somewhat effective,
1442,38,Male,Suburban,Graduate School,Medium,Yes,No,,Emotions,Positive,38,Male,Suburban,Graduate School,Medium,Yes,No,,Reason,Yes,Other,Not at all effective,
1443,34,Male,Suburban,High School,Low,Yes,Not Sure,,Reason,Positive,34,Male,Suburban,High School,Low,Yes,Not Sure,,Reason,No,Not Applicable,Somewhat effective,
1444,40,Male,Urban,College,Medium,Yes,No,,Emotions,Negative,40,Male,Urban,College,Medium,Yes,No,,Reason,No,Not Applicable,Not at all effective,
1445,54,Male,Urban,High School,High,Yes,Not Sure,,Control,Negative,54,Male,Urban,High School,High,Yes,Not Sure,,Reason,No,Not Applicable,Somewhat effective,
1446,33,Male,Rural,Graduate School,High,No,Yes,,Control,Negative,33,Male,Rural,Graduate School,High,No,Yes,,Control,No,Not Applicable,,
1448,25,Female,Rural,High School,Low,No,No,,Control,Neutral,25,Female,Rural,High School,Low,No,No,,Emotions,No,Not Applicable,,Somewhat effective
1449,42,Male,Urban,College,Medium,Yes,Yes,,Reason,Negative,42,Male,Urban,College,Medium,Yes,Yes,,Emotions,Yes,Other,,Very effective
1450,35,Female,Urban,College,High,No,Yes,,Emotions,Neutral,35,Female,Urban,College,High,No,Yes,,Control,Yes,Emotions Ad,,
1452,29,Female,Urban,High School,High,Yes,Yes,Concerns about side effects,Control,Neutral,29,Female,Urban,High School,High,Yes,Yes,Concerns about side effects,Control,No,Not Applicable,,
1453,32,Male,Suburban,High School,Medium,No,Not Sure,,Emotions,Neutral,32,Male,Suburban,High School,Medium,No,Not Sure,,Control,No,Not Applicable,,
1454,43,Female,Rural,College,High,No,No,,Reason,Neutral,43,Female,Rural,College,High,No,No,,Reason,No,Not Applicable,Somewhat effective,
1455,58,Female,Suburban,College,High,No,Not Sure,,Control,Positive,58,Female,Suburban,College,High,No,Not Sure,,Reason,No,Not Applicable,Not at all effective,
1456,62,Male,Suburban,High School,High,Yes,Yes,,Emotions,Positive,62,Male,Suburban,High School,High,Yes,Yes,,Reason,Yes,Other,Not at all effective,
1457,43,Male,Urban,College,High,No,Not Sure,Concerns about side effects,Emotions,Positive,43,Male,Urban,College,High,No,Not Sure,Concerns about side effects,Control,No,Not Applicable,,
1458,64,Female,Suburban,Graduate School,High,No,Not Sure,,Control,Neutral,64,Female,Suburban,Graduate School,High,No,Not Sure,,Control,Yes,Emotions Ad,,
1459,49,Male,Rural,College,High,No,No,,Control,Positive,49,Male,Rural,College,High,No,No,,Emotions,No,Not Applicable,,Not at all effective
1460,27,Male,Suburban,College,High,Yes,No,Concerns about side effects,Emotions,Negative,27,Male,Suburban,College,High,Yes,No,Concerns about side effects,Control,Yes,Emotions Ad,,
1461,33,Male,Suburban,College,High,Yes,No,,Emotions,Neutral,33,Male,Suburban,College,High,Yes,No,,Reason,Yes,Other,Somewhat effective,
1462,24,Male,Suburban,Graduate School,High,No,Yes,,Control,Negative,24,Male,Suburban,Graduate School,High,No,Yes,,Emotions,Yes,Reason Ad,,Somewhat effective
1464,40,Male,Suburban,Graduate School,Medium,No,No,Concerns about side effects,Control,Neutral,40,Male,Suburban,Graduate School,Medium,No,No,Concerns about side effects,Control,No,Not Applicable,,
1465,43,Male,Urban,High School,Low,Yes,Not Sure,,Control,Neutral,43,Male,Urban,High School,Low,Yes,Not Sure,,Emotions,No,Not Applicable,,Somewhat effective
1466,38,Male,Rural,High School,High,Yes,No,,Reason,Neutral,38,Male,Rural,High School,High,Yes,No,,Emotions,No,Not Applicable,,Somewhat effective
1469,31,Male,Rural,High School,Medium,Yes,Yes,Concerns about side effects,Emotions,Neutral,31,Male,Rural,High School,Medium,Yes,Yes,Concerns about side effects,Control,No,Not Applicable,,
1470,32,Male,Rural,High School,Medium,Yes,No,,Control,Positive,32,Male,Rural,High School,Medium,Yes,No,,Reason,Yes,Other,Not at all effective,
1471,24,Female,Rural,Graduate School,Medium,No,No,Concerns about side effects,Reason,Neutral,24,Female,Rural,Graduate School,Medium,No,No,Concerns about side effects,Reason,No,Not Applicable,Somewhat effective,
1472,26,Male,Rural,College,Medium,Yes,Not Sure,,Emotions,Neutral,26,Male,Rural,College,Medium,Yes,Not Sure,,Emotions,No,Not Applicable,,Somewhat effective
1473,25,Male,Suburban,Graduate School,Low,No,No,Concerns about side effects,Reason,Neutral,25,Male,Suburban,Graduate School,Low,No,No,Concerns about side effects,Control,No,Not Applicable,,
1474,40,Female,Urban,Graduate School,Medium,No,Yes,,Emotions,Neutral,40,Female,Urban,Graduate School,Medium,No,Yes,,Control,No,Not Applicable,,
1475,46,Male,Urban,High School,Low,Yes,Yes,,Reason,Neutral,46,Male,Urban,High School,Low,Yes,Yes,,Reason,No,Not Applicable,Not at all effective,
1476,35,Male,Suburban,High School,Low,No,Yes,,Control,Neutral,35,Male,Suburban,High School,Low,No,Yes,,Control,Yes,Emotions Ad,,
1477,48,Female,Rural,College,High,No,Not Sure,Concerns about side effects,Control,Negative,48,Female,Rural,College,High,No,Not Sure,Concerns about side effects,Control,Yes,Emotions Ad,,
1478,47,Female,Urban,College,High,No,Yes,,Reason,Negative,47,Female,Urban,College,High,No,Yes,,Emotions,Yes,Reason Ad,,Very effective
1479,56,Male,Suburban,College,High,No,No,,Control,Neutral,56,Male,Suburban,College,High,No,No,,Control,No,Not Applicable,,
1480,52,Female,Suburban,College,Medium,No,Not Sure,Concerns about side effects,Reason,Negative,52,Female,Suburban,College,Medium,No,Not Sure,Concerns about side effects,Control,No,Not Applicable,,
1482,59,Male,Urban,College,Medium,No,Yes,Concerns about side effects,Emotions,Positive,59,Male,Urban,College,Medium,No,Yes,Concerns about side effects,Control,Yes,Other,,
1483,56,Male,Rural,Graduate School,Medium,Yes,No,,Reason,Neutral,56,Male,Rural,Graduate School,Medium,Yes,No,,Reason,No,Not Applicable,Very effective,
1484,34,Female,Rural,High School,High,Yes,No,,Emotions,Neutral,34,Female,Rural,High School,High,Yes,No,,Reason,Yes,Emotions Ad,Somewhat effective,
1485,31,Female,Urban,College,High,No,Not Sure,,Reason,Negative,31,Female,Urban,College,High,No,Not Sure,,Emotions,Yes,Other,,Very effective
1486,48,Male,Rural,High School,Low,Yes,Yes,,Emotions,Positive,48,Male,Rural,High School,Low,Yes,Yes,,Reason,Yes,Emotions Ad,Somewhat effective,
1487,41,Male,Suburban,High School,Low,No,Yes,,Emotions,Neutral,41,Male,Suburban,High School,Low,No,Yes,,Reason,Yes,Reason Ad,Not at all effective,
1488,52,Female,Rural,Graduate School,Medium,No,No,,Control,Positive,52,Female,Rural,Graduate School,Medium,No,No,,Reason,Yes,Reason Ad,Very effective,
1489,61,Female,Rural,College,Medium,Yes,Not Sure,,Emotions,Negative,61,Female,Rural,College,Medium,Yes,Not Sure,,Reason,No,Not Applicable,Very effective,
1490,62,Female,Suburban,Graduate School,High,No,No,,Emotions,Neutral,62,Female,Suburban,Graduate School,High,No,No,,Emotions,No,Not Applicable,,Not at all effective
1491,51,Male,Rural,High School,High,No,No,,Reason,Neutral,51,Male,Rural,High School,High,No,No,,Control,No,Not Applicable,,
1492,20,Female,Suburban,College,Low,Yes,Not Sure,Concerns about side effects,Emotions,Neutral,20,Female,Suburban,College,Low,Yes,Not Sure,Concerns about side effects,Control,No,Not Applicable,,
1493,54,Female,Rural,High School,High,Yes,Yes,,Control,Positive,54,Female,Rural,High School,High,Yes,Yes,,Control,Yes,Emotions Ad,,
1494,60,Male,Urban,High School,Medium,Yes,Yes,,Reason,Negative,60,Male,Urban,High School,Medium,Yes,Yes,,Emotions,Yes,Emotions Ad,,Very effective
1495,57,Male,Rural,College,High,Yes,Yes,,Emotions,Positive,57,Male,Rural,College,High,Yes,Yes,,Reason,Yes,Reason Ad,Very effective,
1496,43,Male,Urban,College,Low,Yes,Not Sure,,Reason,Positive,43,Male,Urban,College,Low,Yes,Not Sure,,Emotions,Yes,Reason Ad,,Somewhat effective
1497,40,Female,Urban,College,Medium,Yes,Not Sure,,Reason,Neutral,40,Female,Urban,College,Medium,Yes,Not Sure,,Emotions,No,Not Applicable,,Not at all effective
1498,61,Male,Urban,Graduate School,Low,No,Not Sure,,Reason,Negative,61,Male,Urban,Graduate School,Low,No,Not Sure,,Emotions,Yes,Reason Ad,,Somewhat effective
1499,56,Male,Urban,Graduate School,Low,Yes,Not Sure,,Reason,Negative,56,Male,Urban,Graduate School,Low,Yes,Not Sure,,Control,Yes,Emotions Ad,,
1500,32,Male,Urban,High School,Medium,Yes,Not Sure,,Reason,Neutral,32,Male,Urban,High School,Medium,Yes,Not Sure,,Reason,Yes,Emotions Ad,Very effective,
1501,21,Male,Suburban,College,Low,No,No,,Emotions,Negative,21,Male,Suburban,College,Low,No,No,,Control,No,Not Applicable,,
1502,46,Female,Suburban,High School,High,No,Yes,,Reason,Neutral,46,Female,Suburban,High School,High,No,Yes,,Emotions,Yes,Reason Ad,,Somewhat effective
1503,39,Male,Suburban,High School,High,Yes,Not Sure,Concerns about side effects,Reason,Neutral,39,Male,Suburban,High School,High,Yes,Not Sure,Concerns about side effects,Emotions,Yes,Emotions Ad,,Somewhat effective
1505,30,Female,Rural,High School,High,No,Not Sure,,Control,Negative,30,Female,Rural,High School,High,No,Not Sure,,Control,Yes,Other,,
1508,33,Female,Rural,Graduate School,Low,No,Yes,,Control,Positive,33,Female,Rural,Graduate School,Low,No,Yes,,Control,No,Not Applicable,,
1509,62,Male,Urban,College,High,No,Yes,,Control,Neutral,62,Male,Urban,College,High,No,Yes,,Control,No,Not Applicable,,
1510,59,Male,Urban,College,Medium,No,Not Sure,,Reason,Neutral,59,Male,Urban,College,Medium,No,Not Sure,,Reason,Yes,Other,Very effective,
1511,61,Male,Urban,College,Medium,Yes,Yes,,Emotions,Neutral,61,Male,Urban,College,Medium,Yes,Yes,,Control,No,Not Applicable,,
1512,19,Female,Suburban,Graduate School,High,No,No,,Emotions,Neutral,19,Female,Suburban,Graduate School,High,No,No,,Reason,No,Not Applicable,Not at all effective,
1513,52,Male,Urban,Graduate School,Low,Yes,No,Concerns about side effects,Control,Positive,52,Male,Urban,Graduate School,Low,Yes,No,Concerns about side effects,Reason,Yes,Reason Ad,Not at all effective,
1514,59,Male,Suburban,Graduate School,High,No,No,,Control,Negative,59,Male,Suburban,Graduate School,High,No,No,,Control,No,Not Applicable,,
1515,51,Male,Suburban,College,Low,No,Not Sure,,Control,Negative,51,Male,Suburban,College,Low,No,Not Sure,,Emotions,No,Not Applicable,,Somewhat effective
1516,47,Female,Suburban,Graduate School,High,Yes,Not Sure,Concerns about side effects,Control,Negative,47,Female,Suburban,Graduate School,High,Yes,Not Sure,Concerns about side effects,Emotions,Yes,Emotions Ad,,Somewhat effective
1517,30,Female,Suburban,High School,High,No,Not Sure,,Control,Neutral,30,Female,Suburban,High School,High,No,Not Sure,,Reason,Yes,Reason Ad,Not at all effective,
1518,30,Female,Urban,Graduate School,Medium,No,Not Sure,Concerns about side effects,Reason,Positive,30,Female,Urban,Graduate School,Medium,No,Not Sure,Concerns about side effects,Reason,No,Not Applicable,Very effective,
1519,35,Male,Suburban,College,Low,Yes,Not Sure,Concerns about side effects,Reason,Positive,35,Male,Suburban,College,Low,Yes,Not Sure,Concerns about side effects,Reason,Yes,Reason Ad,Somewhat effective,
1520,49,Female,Urban,College,Low,No,No,Concerns about side effects,Reason,Negative,49,Female,Urban,College,Low,No,No,Concerns about side effects,Emotions,No,Not Applicable,,Very effective
1521,49,Male,Urban,High School,Low,No,Yes,,Control,Neutral,49,Male,Urban,High School,Low,No,Yes,,Reason,Yes,Reason Ad,Not at all effective,
1522,52,Male,Suburban,Graduate School,Low,Yes,No,,Reason,Negative,52,Male,Suburban,Graduate School,Low,Yes,No,,Reason,No,Not Applicable,Not at all effective,
1523,56,Female,Urban,Graduate School,Low,Yes,Not Sure,,Control,Neutral,56,Female,Urban,Graduate School,Low,Yes,Not Sure,,Emotions,Yes,Emotions Ad,,Somewhat effective
1524,63,Male,Rural,High School,Medium,No,No,,Emotions,Negative,63,Male,Rural,High School,Medium,No,No,,Control,No,Not Applicable,,
1525,46,Female,Urban,College,High,Yes,Yes,,Emotions,Negative,46,Female,Urban,College,High,Yes,Yes,,Emotions,No,Not Applicable,,Very effective
1526,46,Male,Urban,College,Low,No,Not Sure,,Reason,Positive,46,Male,Urban,College,Low,No,Not Sure,,Control,No,Not Applicable,,
1527,61,Female,Suburban,Graduate School,Low,No,No,,Emotions,Neutral,61,Female,Suburban,Graduate School,Low,No,No,,Control,No,Not Applicable,,
1528,33,Male,Suburban,Graduate School,High,Yes,No,Concerns about side effects,Emotions,Positive,33,Male,Suburban,Graduate School,High,Yes,No,Concerns about side effects,Reason,No,Not Applicable,Not at all effective,
1529,61,Male,Urban,Graduate School,Medium,Yes,Yes,,Emotions,Positive,61,Male,Urban,Graduate School,Medium,Yes,Yes,,Reason,No,Not Applicable,Very effective,
1530,64,Male,Suburban,Graduate School,Medium,Yes,Not Sure,Concerns about side effects,Reason,Negative,64,Male,Suburban,Graduate School,Medium,Yes,Not Sure,Concerns about side effects,Control,No,Not Applicable,,
1531,27,Male,Rural,Graduate School,Medium,Yes,Not Sure,Concerns about side effects,Emotions,Neutral,27,Male,Rural,Graduate School,Medium,Yes,Not Sure,Concerns about side effects,Reason,No,Not Applicable,Not at all effective,
1532,47,Male,Rural,College,High,No,Yes,,Reason,Neutral,47,Male,Rural,College,High,No,Yes,,Control,Yes,Emotions Ad,,
1535,37,Female,Rural,College,Medium,No,Yes,,Reason,Negative,37,Female,Rural,College,Medium,No,Yes,,Reason,No,Not Applicable,Not at all effective,
1536,22,Female,Rural,High School,High,No,Not Sure,,Reason,Neutral,22,Female,Rural,High School,High,No,Not Sure,,Emotions,Yes,Emotions Ad,,Somewhat effective
1537,18,Female,Urban,College,Medium,No,Not Sure,,Emotions,Negative,18,Female,Urban,College,Medium,No,Not Sure,,Control,Yes,Reason Ad,,
1538,47,Male,Suburban,High School,Low,No,No,,Control,Negative,47,Male,Suburban,High School,Low,No,No,,Control,No,Not Applicable,,
1539,20,Male,Rural,College,High,No,No,,Emotions,Positive,20,Male,Rural,College,High,No,No,,Reason,Yes,Other,Somewhat effective,
1540,62,Male,Urban,Graduate School,Medium,No,No,,Control,Negative,62,Male,Urban,Graduate School,Medium,No,No,,Emotions,Yes,Emotions Ad,,Very effective
1541,31,Female,Urban,Graduate School,Low,No,Not Sure,,Emotions,Negative,31,Female,Urban,Graduate School,Low,No,Not Sure,,Reason,Yes,Reason Ad,Very effective,
1542,47,Male,Rural,Graduate School,High,No,Not Sure,,Emotions,Neutral,47,Male,Rural,Graduate School,High,No,Not Sure,,Emotions,Yes,Reason Ad,,Somewhat effective
1543,21,Male,Suburban,High School,High,No,Not Sure,,Control,Negative,21,Male,Suburban,High School,High,No,Not Sure,,Reason,Yes,Emotions Ad,Not at all effective,
1544,35,Female,Rural,College,Low,Yes,No,,Emotions,Neutral,35,Female,Rural,College,Low,Yes,No,,Control,Yes,Emotions Ad,,
1546,42,Female,Rural,High School,Medium,No,Yes,Concerns about side effects,Reason,Positive,42,Female,Rural,High School,Medium,No,Yes,Concerns about side effects,Emotions,No,Not Applicable,,Very effective
1547,18,Female,Suburban,High School,High,Yes,Yes,,Emotions,Neutral,18,Female,Suburban,High School,High,Yes,Yes,,Emotions,No,Not Applicable,,Very effective
1549,32,Female,Suburban,High School,Low,No,Yes,,Control,Neutral,32,Female,Suburban,High School,Low,No,Yes,,Reason,Yes,Emotions Ad,Not at all effective,
1550,26,Male,Rural,High School,Low,No,Not Sure,,Emotions,Negative,26,Male,Rural,High School,Low,No,Not Sure,,Emotions,No,Not Applicable,,Somewhat effective
1551,32,Female,Rural,Graduate School,High,No,No,Concerns about side effects,Control,Negative,32,Female,Rural,Graduate School,High,No,No,Concerns about side effects,Reason,Yes,Reason Ad,Very effective,
1553,21,Male,Rural,High School,Low,Yes,Yes,,Emotions,Neutral,21,Male,Rural,High School,Low,Yes,Yes,,Emotions,Yes,Emotions Ad,,Somewhat effective
1554,29,Male,Suburban,Graduate School,High,No,Yes,,Reason,Positive,29,Male,Suburban,Graduate School,High,No,Yes,,Reason,Yes,Other,Not at all effective,
1555,54,Female,Rural,High School,Medium,Yes,Not Sure,,Reason,Neutral,54,Female,Rural,High School,Medium,Yes,Not Sure,,Reason,No,Not Applicable,Somewhat effective,
1557,60,Female,Suburban,High School,High,No,No,,Emotions,Neutral,60,Female,Suburban,High School,High,No,No,,Reason,No,Not Applicable,Not at all effective,
1558,23,Female,Urban,College,Medium,No,Not Sure,,Emotions,Positive,23,Female,Urban,College,Medium,No,Not Sure,,Control,No,Not Applicable,,
1559,56,Male,Urban,High School,Medium,Yes,Not Sure,,Control,Neutral,56,Male,Urban,High School,Medium,Yes,Not Sure,,Emotions,Yes,Emotions Ad,,Not at all effective
1560,63,Female,Suburban,High School,Medium,Yes,Not Sure,Concerns about side effects,Reason,Positive,63,Female,Suburban,High School,Medium,Yes,Not Sure,Concerns about side effects,Control,No,Not Applicable,,
1561,41,Male,Rural,College,High,No,Yes,,Reason,Positive,41,Male,Rural,College,High,No,Yes,,Control,No,Not Applicable,,
1562,28,Male,Rural,College,Medium,No,Yes,Concerns about side effects,Control,Negative,28,Male,Rural,College,Medium,No,Yes,Concerns about side effects,Control,Yes,Reason Ad,,
1563,30,Female,Rural,High School,Low,Yes,Yes,Concerns about side effects,Reason,Positive,30,Female,Rural,High School,Low,Yes,Yes,Concerns about side effects,Control,No,Not Applicable,,
1564,51,Male,Suburban,College,Medium,No,Yes,,Reason,Neutral,51,Male,Suburban,College,Medium,No,Yes,,Emotions,No,Not Applicable,,Not at all effective
1565,42,Male,Suburban,College,Low,No,No,,Reason,Neutral,42,Male,Suburban,College,Low,No,No,,Emotions,No,Not Applicable,,Very effective
1566,24,Male,Suburban,Graduate School,Medium,No,Not Sure,,Control,Negative,24,Male,Suburban,Graduate School,Medium,No,Not Sure,,Control,No,Not Applicable,,
1567,21,Female,Suburban,College,Low,Yes,Yes,Concerns about side effects,Reason,Neutral,21,Female,Suburban,College,Low,Yes,Yes,Concerns about side effects,Emotions,Yes,Reason Ad,,Very effective
1568,25,Male,Urban,College,Low,Yes,No,,Emotions,Negative,25,Male,Urban,College,Low,Yes,No,,Emotions,Yes,Other,,Very effective
1569,37,Female,Suburban,High School,Low,No,Not Sure,,Reason,Neutral,37,Female,Suburban,High School,Low,No,Not Sure,,Reason,Yes,Other,Not at all effective,
1570,46,Female,Rural,High School,Low,Yes,Not Sure,,Emotions,Neutral,46,Female,Rural,High School,Low,Yes,Not Sure,,Emotions,Yes,Other,,Not at all effective
1571,62,Male,Urban,Graduate School,Low,No,Not Sure,,Reason,Positive,62,Male,Urban,Graduate School,Low,No,Not Sure,,Control,Yes,Emotions Ad,,
1572,63,Male,Rural,High School,Medium,Yes,Yes,,Emotions,Positive,63,Male,Rural,High School,Medium,Yes,Yes,,Emotions,Yes,Emotions Ad,,Very effective
1573,27,Female,Suburban,College,High,Yes,Not Sure,Concerns about side effects,Reason,Positive,27,Female,Suburban,College,High,Yes,Not Sure,Concerns about side effects,Control,No,Not Applicable,,
1574,60,Female,Urban,College,High,Yes,Yes,Concerns about side effects,Emotions,Neutral,60,Female,Urban,College,High,Yes,Yes,Concerns about side effects,Emotions,Yes,Reason Ad,,Not at all effective
1575,51,Male,Suburban,College,High,No,No,,Emotions,Negative,51,Male,Suburban,College,High,No,No,,Control,Yes,Other,,
1576,43,Male,Urban,High School,High,No,Not Sure,Concerns about side effects,Reason,Negative,43,Male,Urban,High School,High,No,Not Sure,Concerns about side effects,Emotions,No,Not Applicable,,Very effective
1577,58,Female,Rural,College,High,No,No,,Control,Negative,58,Female,Rural,College,High,No,No,,Emotions,No,Not Applicable,,Somewhat effective
1578,20,Female,Suburban,College,Low,Yes,Yes,Concerns about side effects,Reason,Positive,20,Female,Suburban,College,Low,Yes,Yes,Concerns about side effects,Emotions,Yes,Emotions Ad,,Very effective
1579,23,Female,Suburban,Graduate School,Medium,No,Yes,,Control,Neutral,23,Female,Suburban,Graduate School,Medium,No,Yes,,Control,No,Not Applicable,,
1580,22,Female,Urban,Graduate School,Low,No,Yes,Concerns about side effects,Control,Positive,22,Female,Urban,Graduate School,Low,No,Yes,Concerns about side effects,Reason,No,Not Applicable,Somewhat effective,
1581,22,Female,Urban,Graduate School,Medium,No,Not Sure,,Control,Neutral,22,Female,Urban,Graduate School,Medium,No,Not Sure,,Control,Yes,Emotions Ad,,
1582,64,Male,Suburban,High School,Medium,No,Not Sure,Concerns about side effects,Control,Neutral,64,Male,Suburban,High School,Medium,No,Not Sure,Concerns about side effects,Emotions,No,Not Applicable,,Somewhat effective
